Timestamp,Time,,,,Kp,Ap,,even_index
2023 02 04,18,19.5,33272.75,33272.8125,0,0,1,TRUE
2023 02 05,0,1.5,33273,33273.0625,0.333,2,1,TRUE
2023 02 05,6,7.5,33273.25,33273.3125,0.333,2,1,TRUE
2023 02 05,12,13.5,33273.5,33273.5625,1,4,1,TRUE
2023 02 05,18,19.5,33273.75,33273.8125,1.667,6,1,TRUE
2023 02 06,0,1.5,33274,33274.0625,3,15,1,TRUE
2023 02 06,6,7.5,33274.25,33274.3125,2.667,12,1,TRUE
2023 02 06,12,13.5,33274.5,33274.5625,2.667,12,1,TRUE
2023 02 06,18,19.5,33274.75,33274.8125,3.667,22,1,TRUE
2023 02 07,0,1.5,33275,33275.0625,4,27,1,TRUE
2023 02 07,6,7.5,33275.25,33275.3125,3.333,18,1,TRUE
2023 02 07,12,13.5,33275.5,33275.5625,3,15,1,TRUE
2023 02 07,18,19.5,33275.75,33275.8125,2.667,12,1,TRUE
2023 02 08,0,1.5,33276,33276.0625,3,15,1,TRUE
2023 02 08,6,7.5,33276.25,33276.3125,3,15,1,TRUE
2023 02 08,12,13.5,33276.5,33276.5625,3.333,18,1,TRUE
2023 02 08,18,19.5,33276.75,33276.8125,3.333,18,1,TRUE
2023 02 09,0,1.5,33277,33277.0625,3,15,1,TRUE
2023 02 09,6,7.5,33277.25,33277.3125,2.667,12,1,TRUE
2023 02 09,12,13.5,33277.5,33277.5625,2.333,9,1,TRUE
2023 02 09,18,19.5,33277.75,33277.8125,3.333,18,1,TRUE
2023 02 10,0,1.5,33278,33278.0625,4,27,1,TRUE
2023 02 10,6,7.5,33278.25,33278.3125,2.333,9,1,TRUE
2023 02 10,12,13.5,33278.5,33278.5625,3,15,1,TRUE
2023 02 10,18,19.5,33278.75,33278.8125,3.333,18,1,TRUE
2023 02 11,0,1.5,33279,33279.0625,3.333,18,1,TRUE
2023 02 11,6,7.5,33279.25,33279.3125,2,7,1,TRUE
2023 02 11,12,13.5,33279.5,33279.5625,2.333,9,1,TRUE
2023 02 11,18,19.5,33279.75,33279.8125,1,4,1,TRUE
2023 02 12,0,1.5,33280,33280.0625,1.667,6,1,TRUE
2023 02 12,6,7.5,33280.25,33280.3125,1.667,6,1,TRUE
2023 02 12,12,13.5,33280.5,33280.5625,1.667,6,1,TRUE
2023 02 12,18,19.5,33280.75,33280.8125,2.333,9,1,TRUE
2023 02 13,0,1.5,33281,33281.0625,0.667,3,1,TRUE
2023 02 13,6,7.5,33281.25,33281.3125,0.667,3,1,TRUE
2023 02 13,12,13.5,33281.5,33281.5625,2,7,1,TRUE
2023 02 13,18,19.5,33281.75,33281.8125,1.333,5,1,TRUE
2023 02 14,0,1.5,33282,33282.0625,2,7,1,TRUE
2023 02 14,6,7.5,33282.25,33282.3125,2.333,9,1,TRUE
2023 02 14,12,13.5,33282.5,33282.5625,1,4,1,TRUE
2023 02 14,18,19.5,33282.75,33282.8125,0.667,3,1,TRUE
2023 02 15,0,1.5,33283,33283.0625,2.667,12,1,TRUE
2023 02 15,6,7.5,33283.25,33283.3125,5.333,56,1,TRUE
2023 02 15,12,13.5,33283.5,33283.5625,3.333,18,1,TRUE
2023 02 15,18,19.5,33283.75,33283.8125,3.333,18,1,TRUE
2023 02 16,0,1.5,33284,33284.0625,3,15,1,TRUE
2023 02 16,6,7.5,33284.25,33284.3125,5,48,1,TRUE
2023 02 16,12,13.5,33284.5,33284.5625,4.333,32,1,TRUE
2023 02 16,18,19.5,33284.75,33284.8125,1.333,5,1,TRUE
2023 02 17,0,1.5,33285,33285.0625,1.667,6,1,TRUE
2023 02 17,6,7.5,33285.25,33285.3125,2,7,1,TRUE
2023 02 17,12,13.5,33285.5,33285.5625,1.333,5,1,TRUE
2023 02 17,18,19.5,33285.75,33285.8125,1,4,1,TRUE
2023 02 18,0,1.5,33286,33286.0625,1,4,1,TRUE
2023 02 18,6,7.5,33286.25,33286.3125,0.667,3,1,TRUE
2023 02 18,12,13.5,33286.5,33286.5625,2,7,1,TRUE
2023 02 18,18,19.5,33286.75,33286.8125,2.333,9,1,TRUE
2023 02 19,0,1.5,33287,33287.0625,2.667,12,1,TRUE
2023 02 19,6,7.5,33287.25,33287.3125,1.333,5,1,TRUE
2023 02 19,12,13.5,33287.5,33287.5625,2,7,1,TRUE
2023 02 19,18,19.5,33287.75,33287.8125,1.333,5,1,TRUE
2023 02 20,0,1.5,33288,33288.0625,0.667,3,1,TRUE
2023 02 20,6,7.5,33288.25,33288.3125,1.667,6,1,TRUE
2023 02 20,12,13.5,33288.5,33288.5625,2.333,9,1,TRUE
2023 02 20,18,19.5,33288.75,33288.8125,2.333,9,1,TRUE
2023 02 21,0,1.5,33289,33289.0625,3,15,1,TRUE
2023 02 21,6,7.5,33289.25,33289.3125,3.333,18,1,TRUE
2023 02 21,12,13.5,33289.5,33289.5625,3.667,22,1,TRUE
2023 02 21,18,19.5,33289.75,33289.8125,1,4,1,TRUE
2023 02 22,0,1.5,33290,33290.0625,1.333,5,1,TRUE
2023 02 22,6,7.5,33290.25,33290.3125,1.333,5,1,TRUE
2023 02 22,12,13.5,33290.5,33290.5625,2,7,1,TRUE
2023 02 22,18,19.5,33290.75,33290.8125,2,7,1,TRUE
2023 02 23,0,1.5,33291,33291.0625,4.333,32,1,TRUE
2023 02 23,6,7.5,33291.25,33291.3125,3,15,1,TRUE
2023 02 23,12,13.5,33291.5,33291.5625,2.667,12,1,TRUE
2023 02 23,18,19.5,33291.75,33291.8125,3.333,18,1,TRUE
2023 02 24,0,1.5,33292,33292.0625,2.333,9,1,TRUE
2023 02 24,6,7.5,33292.25,33292.3125,2,7,1,TRUE
2023 02 24,12,13.5,33292.5,33292.5625,1.667,6,1,TRUE
2023 02 24,18,19.5,33292.75,33292.8125,0,0,1,TRUE
2023 02 25,0,1.5,33293,33293.0625,0.667,3,1,TRUE
2023 02 25,6,7.5,33293.25,33293.3125,1.667,6,1,TRUE
2023 02 25,12,13.5,33293.5,33293.5625,2,7,1,TRUE
2023 02 25,18,19.5,33293.75,33293.8125,3,15,1,TRUE
2023 02 26,0,1.5,33294,33294.0625,3.333,18,1,TRUE
2023 02 26,6,7.5,33294.25,33294.3125,3,15,1,TRUE
2023 02 26,12,13.5,33294.5,33294.5625,3,15,1,TRUE
2023 02 26,18,19.5,33294.75,33294.8125,5,48,1,TRUE
2023 02 27,0,1.5,33295,33295.0625,5,48,1,TRUE
2023 02 27,6,7.5,33295.25,33295.3125,6.667,111,1,TRUE
2023 02 27,12,13.5,33295.5,33295.5625,6.333,94,1,TRUE
2023 02 27,18,19.5,33295.75,33295.8125,6.333,94,1,TRUE
2023 02 28,0,1.5,33296,33296.0625,5.667,67,1,TRUE
2023 02 28,6,7.5,33296.25,33296.3125,3,15,1,TRUE
2023 02 28,12,13.5,33296.5,33296.5625,1.667,6,1,TRUE
2023 02 28,18,19.5,33296.75,33296.8125,4,27,1,TRUE
2023 03 01,0,1.5,33297,33297.0625,3,15,1,TRUE
2023 03 01,6,7.5,33297.25,33297.3125,1.333,5,1,TRUE
2023 03 01,12,13.5,33297.5,33297.5625,0.667,3,1,TRUE
2023 03 01,18,19.5,33297.75,33297.8125,2,7,1,TRUE
2023 03 02,0,1.5,33298,33298.0625,0.667,3,1,TRUE
2023 03 02,6,7.5,33298.25,33298.3125,2,7,1,TRUE
2023 03 02,12,13.5,33298.5,33298.5625,1.333,5,1,TRUE
2023 03 02,18,19.5,33298.75,33298.8125,2.667,12,1,TRUE
2023 03 03,0,1.5,33299,33299.0625,3.667,22,1,TRUE
2023 03 03,6,7.5,33299.25,33299.3125,3.333,18,1,TRUE
2023 03 03,12,13.5,33299.5,33299.5625,3.333,18,1,TRUE
2023 03 03,18,19.5,33299.75,33299.8125,4,27,1,TRUE
2023 03 04,0,1.5,33300,33300.0625,3.333,18,1,TRUE
2023 03 04,6,7.5,33300.25,33300.3125,3,15,1,TRUE
2023 03 04,12,13.5,33300.5,33300.5625,2,7,1,TRUE
2023 03 04,18,19.5,33300.75,33300.8125,3.333,18,1,TRUE
2023 03 05,0,1.5,33301,33301.0625,3.333,18,1,TRUE
2023 03 05,6,7.5,33301.25,33301.3125,3.667,22,1,TRUE
2023 03 05,12,13.5,33301.5,33301.5625,4,27,1,TRUE
2023 03 05,18,19.5,33301.75,33301.8125,4.333,32,1,TRUE
2023 03 06,0,1.5,33302,33302.0625,3.667,22,1,TRUE
2023 03 06,6,7.5,33302.25,33302.3125,2.667,12,1,TRUE
2023 03 06,12,13.5,33302.5,33302.5625,2.667,12,1,TRUE
2023 03 06,18,19.5,33302.75,33302.8125,2.667,12,1,TRUE
2023 03 07,0,1.5,33303,33303.0625,2.333,9,1,TRUE
2023 03 07,6,7.5,33303.25,33303.3125,3,15,1,TRUE
2023 03 07,12,13.5,33303.5,33303.5625,2,7,1,TRUE
2023 03 07,18,19.5,33303.75,33303.8125,1,4,1,TRUE
2023 03 08,0,1.5,33304,33304.0625,0.333,2,1,TRUE
2023 03 08,6,7.5,33304.25,33304.3125,2,7,1,TRUE
2023 03 08,12,13.5,33304.5,33304.5625,1.333,5,1,TRUE
2023 03 08,18,19.5,33304.75,33304.8125,3,15,1,TRUE
2023 03 09,0,1.5,33305,33305.0625,2,7,1,TRUE
2023 03 09,6,7.5,33305.25,33305.3125,4,27,1,TRUE
2023 03 09,12,13.5,33305.5,33305.5625,3,15,1,TRUE
2023 03 09,18,19.5,33305.75,33305.8125,2.333,9,1,TRUE
2023 03 10,0,1.5,33306,33306.0625,3.333,18,1,TRUE
2023 03 10,6,7.5,33306.25,33306.3125,1.667,6,1,TRUE
2023 03 10,12,13.5,33306.5,33306.5625,1,4,1,TRUE
2023 03 10,18,19.5,33306.75,33306.8125,2.333,9,1,TRUE
2023 03 11,0,1.5,33307,33307.0625,2.667,12,1,TRUE
2023 03 11,6,7.5,33307.25,33307.3125,1.333,5,1,TRUE
2023 03 11,12,13.5,33307.5,33307.5625,1,4,1,TRUE
2023 03 11,18,19.5,33307.75,33307.8125,1.333,5,1,TRUE
2023 03 12,0,1.5,33308,33308.0625,3,15,1,TRUE
2023 03 12,6,7.5,33308.25,33308.3125,3,15,1,TRUE
2023 03 12,12,13.5,33308.5,33308.5625,0.667,3,1,TRUE
2023 03 12,18,19.5,33308.75,33308.8125,0.667,3,1,TRUE
